index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,integer_1,integer_2,integer_3,integer_4,integer_5,integer_6,integer_7,integer_8,floatvalue_1,floatvalue_2,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,Length_diff,freq
0,185,1,0,0,3000,10,314,310,313,38091,38095,38120,30000916,18498626,50.01,0.83,0.0,0.0,0,0,0.0,0,0.0
1,185,1,1,0,3000,10,307,309,315,38102,38116,38101,30000474,18500910,49.95,0.84,1.0483752320000006,1.0483752320000006,1,0,0.0,0,0.9538569488066649
2,185,1,2,0,3000,10,305,310,315,38095,38106,38095,29998229,18501268,50.0,0.87,1.065143299999999,2.113518532,1,0,0.0,0,0.9388408113725176
3,185,1,3,0,3000,10,308,305,311,38107,38094,38116,29998691,18501855,49.96,0.86,1.0399975040000005,3.153516036,1,0,0.0,0,0.9615407692363073
4,185,1,4,0,3000,10,311,311,306,38111,38093,38091,29999854,18501884,49.97,0.84,1.0442764320000002,4.197792468,1,0,0.0,0,0.9576008510359638
5,185,1,5,0,3000,10,308,308,309,38108,38092,38098,30000903,18498048,50.0,0.87,1.0749768490000005,5.272769317000001,1,0,0.0,0,0.9302525918862831
6,185,1,6,0,3000,10,311,311,305,38090,38095,38115,29998709,18499115,50.03,0.86,1.0466050979999988,6.319374415,1,0,0.0,0,0.9554702169050596
7,185,1,7,0,3000,10,306,306,310,38112,38117,38092,30000255,18499302,50.03,0.85,1.1374223010000009,7.456796716,1,0,0.0,0,0.8791809331686378
8,185,1,8,0,3000,10,308,306,306,38101,38102,38117,29998794,18500951,49.97,0.84,1.0740021960000004,8.530798912000002,1,0,0.0,0,0.9310967926549749
9,185,1,9,0,3000,10,306,310,315,38115,38099,38104,30000156,18501531,50.04,0.84,1.050697231000001,9.581496143000004,1,0,0.0,0,0.9517489629702842
10,185,1,10,0,3000,10,313,314,308,38115,38111,38092,30001220,18501740,50.02,0.83,1.090273775,10.671769918000004,1,0,0.0,0,0.9172008195831364
11,185,1,11,0,3000,10,313,315,311,38109,38119,38101,30001441,18500263,50.01,0.83,1.057860899999998,11.729630818,1,0,0.0,0,0.9453038674555433
12,185,1,12,0,3000,10,305,309,312,38102,38117,38119,29998159,18501225,49.99,0.87,1.058520252000001,12.78815107,1,0,0.0,0,0.9447150379131329
13,185,1,13,0,3000,10,315,308,315,38107,38101,38106,30001254,18499580,50.01,0.86,1.0541042370000009,13.842255307000002,1,0,0.0,0,0.9486727829175771
