index,Length,stNum,sqNum,attack,timeAllowedtoLive,numDatSetEntries,bitstring_1,bitstring_2,time_diff,time_from_start,sqNum_diff,stNum_diff,timestamp_diff,bitstring_1_diff,bitstring_2_diff,Length_diff,freq
0,166,35,779,0,3000,2,80,0,0.0,0.0,0,0,0.0,0,0,0,0.0
1,166,35,780,0,3000,2,80,0,1.999736,1.999736,1,0,0.0,0,0,0,0.5000660087131501
2,166,35,781,0,3000,2,80,0,2.00036,4.000096,1,0,0.0,0,0,0,0.4999100161970845
3,166,35,782,0,3000,2,80,0,1.999714,5.99981,1,0,0.0,0,0,0,0.5000715102259623
4,166,35,783,0,3000,2,80,0,1.9997320000000007,7.999542000000001,1,0,0.0,0,0,0,0.500067008979203
5,166,35,784,0,3000,2,80,0,2.000494999999999,10.000037,1,0,0.0,0,0,0,0.4998762806205467
6,166,35,785,0,3000,2,80,0,2.0000029999999995,12.000039999999998,1,0,0.0,0,0,0,0.4999992500011251
7,166,35,786,0,3000,2,80,0,2.000198000000001,14.000238,1,0,0.0,0,0,0,0.49995050490001464
8,166,35,787,0,3000,2,80,0,2.000114999999999,16.000353,1,0,0.0,0,0,0,0.49997125165303014
9,166,35,788,0,3000,2,80,0,1.999506,17.999859,1,0,0.0,0,0,0,0.5001235305120365
10,166,35,789,0,3000,2,80,0,2.000726,20.000585,1,0,0.0,0,0,0,0.49981856586059265
11,166,35,790,0,3000,2,80,0,1.9996189999999991,22.000204,1,0,0.0,0,0,0,0.5000952681485825
12,166,35,791,0,3000,2,80,0,1.9996180000000017,23.999822,1,0,0.0,0,0,0,0.5000955182439842
13,166,35,792,0,3000,2,80,0,2.00076,26.000582,1,0,0.0,0,0,0,0.4998100721725744
14,166,35,793,0,3000,2,80,0,1.9995900000000013,28.000172000000003,1,0,0.0,0,0,0,0.5001025210168081
15,165,8,0,1,3000,2,0,0,-0.8144840000000002,27.185688000000003,-793,-27,-2072276257101238.0,-80,0,-1,-1.2277712023808935
16,165,8,1,1,3000,2,0,0,0.0522489999999997,27.237937,1,0,0.0,0,0,0,19.139122279852355
17,166,35,794,0,3000,2,80,0,2.762238,30.000175,793,27,2072276257101238.0,80,0,1,0.36202528529402606
18,166,35,795,0,3000,2,80,0,2.000095999999999,32.000271,1,0,0.0,0,0,0,0.4999760011519449
19,165,8,2,1,3000,2,0,0,-4.706212000000001,27.294059,-793,-27,-2072276257101238.0,-80,0,-1,-0.21248511541766496
20,166,35,796,0,3000,2,80,0,6.706189000000002,34.000248,794,27,2072276257101238.0,80,0,1,0.1491159882311697
21,165,8,3,1,3000,2,0,0,-6.629938000000003,27.37031,-793,-27,-2072276257101238.0,-80,0,-1,-0.15083097307998952
22,166,35,797,0,3000,2,80,0,8.629427,35.999737,794,27,2072276257101238.0,80,0,1,0.11588254932801448
23,165,8,4,1,3000,2,0,0,-8.537676999999999,27.46206,-793,-27,-2072276257101238.0,-80,0,-1,-0.11712787916432071
24,165,8,5,1,3000,2,0,0,0.1282309999999995,27.590291,1,0,0.0,0,0,0,7.798426277577215
25,166,35,798,0,3000,2,80,0,10.410301,38.000592,793,27,2072276257101238.0,80,0,1,0.09605870185693959
26,165,9,0,1,3000,2,40,0,-10.26194,27.738652,-798,-26,-2072275712418020.0,-40,0,-1,-0.09744746120129333
27,166,35,799,0,3000,2,80,0,12.261169,39.999821,799,26,2072275712418020.0,40,0,1,0.081558291872496
28,166,35,800,0,3000,2,80,0,2.0000870000000006,41.999908,1,0,0.0,0,0,0,0.49997825094608367
29,165,9,1,1,3000,2,40,0,-14.207754,27.792154,-799,-26,-2072275712418020.0,-40,0,-1,-0.07038410152653263
30,165,9,2,1,3000,2,40,0,0.0538760000000024,27.846030000000003,1,0,0.0,0,0,0,18.56114039646513
31,166,35,801,0,3000,2,80,0,16.154387999999997,44.000418,799,26,2072275712418020.0,40,0,1,0.06190268551182503
32,165,9,3,1,3000,2,40,0,-16.085141,27.915277,-798,-26,-2072275712418020.0,-40,0,-1,-0.06216917837400368
33,166,35,802,0,3000,2,80,0,18.084498000000004,45.999775,799,26,2072275712418020.0,40,0,1,0.05529597780375213
34,166,35,803,0,3000,2,80,0,2.000108999999995,47.999884,1,0,0.0,0,0,0,0.4999727514850454
35,165,9,4,1,3000,2,40,0,-19.97398,28.025904,-799,-26,-2072275712418020.0,-40,0,-1,-0.050065134740297126
36,166,35,804,0,3000,2,80,0,21.973837000000003,49.999741,800,26,2072275712418020.0,40,0,1,0.045508665600823374
37,165,9,5,1,3000,2,40,0,-21.845056000000003,28.154685,-799,-26,-2072275712418020.0,-40,0,-1,-0.04577694834016447
38,166,35,805,0,3000,2,80,0,23.845291,51.999976,800,26,2072275712418020.0,40,0,1,0.04193700131401206
39,166,35,806,0,3000,2,80,0,1.9998700000000011,53.999846,1,0,0.0,0,0,0,0.5000325021126371
40,165,9,6,1,3000,2,40,0,-25.63369,28.366156,-800,-26,-2072275712418020.0,-40,0,-1,-0.03901116070296551
41,165,9,7,1,3000,2,40,0,0.3920279999999998,28.758184,1,0,0.0,0,0,0,2.550838205434307
42,166,35,807,0,3000,2,80,0,27.241635,55.999819,800,26,2072275712418020.0,40,0,1,0.03670851621057253
43,165,9,8,1,3000,2,40,0,-26.53754,29.462279,-799,-26,-2072275712418020.0,-40,0,-1,-0.03768246793033567
44,166,35,808,0,3000,2,80,0,28.537923,58.000202,800,26,2072275712418020.0,40,0,1,0.03504109251398569
45,166,35,809,0,3000,2,80,0,1.9997120000000024,59.999914,1,0,0.0,0,0,0,0.5000720103694926
46,165,9,9,1,3000,2,40,0,-29.205866,30.794048,-800,-26,-2072275712418020.0,-40,0,-1,-0.03423969691568125
47,166,35,810,0,3000,2,80,0,31.20572,61.999768,801,26,2072275712418020.0,40,0,1,0.03204540705998772
48,166,35,811,0,3000,2,80,0,2.000488999999994,64.00025699999999,1,0,0.0,0,0,0,0.4998777798828201
49,166,35,812,0,3000,2,80,0,1.9997280000000048,65.999985,1,0,0.0,0,0,0,0.5000680092492567
50,165,9,10,1,3000,2,40,0,-33.153742,32.846242999999994,-802,-26,-2072275712418020.0,-40,0,-1,-0.030162507749502302
51,166,35,813,0,3000,2,80,0,35.154108,68.000351,803,26,2072275712418020.0,40,0,1,0.02844617761315406
52,166,35,814,0,3000,2,80,0,1.9998060000000064,70.000157,1,0,0.0,0,0,0,0.5000485047049548
53,165,9,11,1,3000,2,40,0,-35.109903,34.890254,-803,-26,-2072275712418020.0,-40,0,-1,-0.02848199267312131
54,166,35,815,0,3000,2,80,0,37.110423,72.000677,804,26,2072275712418020.0,40,0,1,0.02694660742616704
55,166,35,816,0,3000,2,80,0,2.0009600000000063,74.001637,1,0,0.0,0,0,0,0.49976011514472896
56,165,9,12,1,3000,2,40,0,-37.06387600000001,36.937761,-804,-26,-2072275712418020.0,-40,0,-1,-0.026980448563987205
57,166,35,817,0,3000,2,80,0,39.063475,76.00123599999999,805,26,2072275712418020.0,40,0,1,0.025599361039948445
58,166,35,818,0,3000,2,80,0,1.999768000000003,78.001004,1,0,0.0,0,0,0,0.5000580067287798
59,165,9,13,1,3000,2,40,0,-39.019048,38.981956,-805,-26,-2072275712418020.0,-40,0,-1,-0.025628508414659426
60,166,35,819,0,3000,2,80,0,41.01952,80.001476,806,26,2072275712418020.0,40,0,1,0.02437863729268407
61,166,35,820,0,3000,2,80,0,1.9997589999999972,82.001235,1,0,0.0,0,0,0,0.5000602572610007
62,165,9,14,1,3000,2,40,0,-40.975391,41.025844,-806,-26,-2072275712418020.0,-40,0,-1,-0.024404892194927436
63,166,35,821,0,3000,2,80,0,42.97498,84.000824,807,26,2072275712418020.0,40,0,1,0.023269353470321566
64,166,35,822,0,3000,2,80,0,2.0007719999999978,86.00159599999999,1,0,0.0,0,0,0,0.49980707446925543
65,165,9,15,1,3000,2,40,0,-42.927693,43.073903,-807,-26,-2072275712418020.0,-40,0,-1,-0.0232949858265153
66,166,35,823,0,3000,2,80,0,44.92792000000001,88.001823,808,26,2072275712418020.0,40,0,1,0.022257874390801975
67,166,35,824,0,3000,2,80,0,2.00009,90.001913,1,0,0.0,0,0,0,0.4999775010124544
68,165,9,16,1,3000,2,40,0,-44.879634,45.122279,-808,-26,-2072275712418020.0,-40,0,-1,-0.022281821638741525
69,166,35,825,0,3000,2,80,0,46.8796,92.001879,809,26,2072275712418020.0,40,0,1,0.021331240027645287
70,165,9,17,1,3000,2,40,0,-44.81611900000001,47.18576,-808,-26,-2072275712418020.0,-40,0,-1,-0.022313400229948512
71,166,35,826,0,3000,2,80,0,46.81647300000001,94.002233,809,26,2072275712418020.0,40,0,1,0.021360002920339596
72,166,35,827,0,3000,2,80,0,1.999763999999999,96.001997,1,0,0.0,0,0,0,0.5000590069628219
73,165,9,18,1,3000,2,40,0,-46.74378900000001,49.258208,-809,-26,-2072275712418020.0,-40,0,-1,-0.02139321654049054
74,166,35,828,0,3000,2,80,0,48.74364200000001,98.00185,810,26,2072275712418020.0,40,0,1,0.02051549615434973
75,166,35,829,0,3000,2,80,0,2.000360999999998,100.002211,1,0,0.0,0,0,0,0.49990976628718564
76,165,9,19,1,3000,2,40,0,-48.696111,51.3061,-810,-26,-2072275712418020.0,-40,0,-1,-0.020535520793436665
77,166,35,830,0,3000,2,80,0,50.695847,102.001947,811,26,2072275712418020.0,40,0,1,0.01972548165533165
78,166,35,831,0,3000,2,80,0,1.9999809999999911,104.001928,1,0,0.0,0,0,0,0.5000047500451277
79,165,9,20,1,3000,2,40,0,-50.64760999999999,53.354318,-811,-26,-2072275712418020.0,-40,0,-1,-0.019744268288276585
80,166,35,832,0,3000,2,80,0,52.647842,106.00216,812,26,2072275712418020.0,40,0,1,0.018994130851555133
81,166,35,833,0,3000,2,80,0,2.000591,108.002751,1,0,0.0,0,0,0,0.4998522936472272
82,166,35,834,0,3000,2,80,0,1.9993139999999985,110.002065,1,0,0.0,0,0,0,0.5001715588446841
83,165,9,21,1,3000,2,40,0,-54.600107,55.401958,-813,-26,-2072275712418020.0,-40,0,-1,-0.018314982423019793
84,166,35,835,0,3000,2,80,0,56.600278,112.002236,814,26,2072275712418020.0,40,0,1,0.017667757744935456
85,165,9,22,1,3000,2,40,0,-54.552668,57.449568,-813,-26,-2072275712418020.0,-40,0,-1,-0.018330909131703696
86,166,35,836,0,3000,2,80,0,56.553151,114.002719,814,26,2072275712418020.0,40,0,1,0.017682480680873115
87,166,35,837,0,3000,2,80,0,1.999856999999992,116.002576,1,0,0.0,0,0,0,0.5000357525563097
88,166,35,838,0,3000,2,80,0,1.999643000000006,118.002219,1,0,0.0,0,0,0,0.5000892659339677
89,165,9,23,1,3000,2,40,0,-58.49656,59.505659,-815,-26,-2072275712418020.0,-40,0,-1,-0.017095022339775192
90,166,35,839,0,3000,2,80,0,60.496511,120.00217,816,26,2072275712418020.0,40,0,1,0.016529878888387466
91,166,35,840,0,3000,2,80,0,2.0003620000000097,122.002532,1,0,0.0,0,0,0,0.4999095163775332
92,165,9,24,1,3000,2,40,0,-60.437226,61.565306,-816,-26,-2072275712418020.0,-40,0,-1,-0.016546093627791587
93,166,35,841,0,3000,2,80,0,62.437458,124.002764,817,26,2072275712418020.0,40,0,1,0.016016026789559563
94,165,9,25,1,3000,2,40,0,-60.364751,63.638013,-816,-26,-2072275712418020.0,-40,0,-1,-0.01656595916381731
95,166,35,842,0,3000,2,80,0,62.364113,126.002126,817,26,2072275712418020.0,40,0,1,0.0160348628705743
96,166,35,843,0,3000,2,80,0,2.000443000000004,128.00256900000002,1,0,0.0,0,0,0,0.4998892745256915
97,166,35,844,0,3000,2,80,0,1.999727999999976,130.002297,1,0,0.0,0,0,0,0.5000680092492639
98,165,9,26,1,3000,2,40,0,-64.30842699999998,65.69387,-818,-26,-2072275712418020.0,-40,0,-1,-0.015550061580576374
99,166,35,845,0,3000,2,80,0,66.30903299999999,132.002903,819,26,2072275712418020.0,40,0,1,0.015080901571886898
100,165,9,27,1,3000,2,40,0,-64.24904699999999,67.753856,-818,-26,-2072275712418020.0,-40,0,-1,-0.015564433196962442
101,166,35,846,0,3000,2,80,0,66.24965,134.00350600000002,819,26,2072275712418020.0,40,0,1,0.015094419366743824
102,166,35,847,0,3000,2,80,0,1.9997669999999916,136.003273,1,0,0.0,0,0,0,0.5000582567869177
103,166,35,848,0,3000,2,80,0,2.000718000000006,138.003991,1,0,0.0,0,0,0,0.4998205644173726
104,165,9,28,1,3000,2,40,0,-68.202298,69.801693,-820,-26,-2072275712418020.0,-40,0,-1,-0.014662262553088754
105,166,35,849,0,3000,2,80,0,70.20313800000001,140.00483100000002,821,26,2072275712418020.0,40,0,1,0.014244377509164902
106,166,35,850,0,3000,2,80,0,2.000378999999981,142.00521,1,0,0.0,0,0,0,0.4999052679517279
107,165,9,29,1,3000,2,40,0,-70.15116699999999,71.854043,-821,-26,-2072275712418020.0,-40,0,-1,-0.014254930356326077
108,166,35,851,0,3000,2,80,0,72.150958,144.00500100000002,822,26,2072275712418020.0,40,0,1,0.013859829830672517
109,165,9,30,1,3000,2,40,0,-70.09571400000002,73.90928699999999,-821,-26,-2072275712418020.0,-40,0,-1,-0.014266207488805947
110,166,35,852,0,3000,2,80,0,72.096573,146.00586,822,26,2072275712418020.0,40,0,1,0.013870284791483778
111,166,35,853,0,3000,2,80,0,1.9993299999999865,148.00519,1,0,0.0,0,0,0,0.5001675561313074
112,165,9,31,1,3000,2,40,0,-72.05155099999999,75.953639,-822,-26,-2072275712418020.0,-40,0,-1,-0.013878951752197536
113,166,35,854,0,3000,2,80,0,74.051534,150.005173,823,26,2072275712418020.0,40,0,1,0.013504109178886151
114,166,35,855,0,3000,2,80,0,1.9998610000000097,152.00503400000002,1,0,0.0,0,0,0,0.5000347524152905
115,166,35,856,0,3000,2,80,0,2.000504999999976,154.005539,1,0,0.0,0,0,0,0.4998737818700838
116,166,35,857,0,3000,2,80,0,1.999586000000022,156.00512500000002,1,0,0.0,0,0,0,0.5001035214289302
117,165,9,32,1,3000,2,40,0,-78.01176900000002,77.99335599999999,-825,-26,-2072275712418020.0,-40,0,-1,-0.012818578694196767
118,166,35,858,0,3000,2,80,0,80.01215300000001,158.00550900000002,826,26,2072275712418020.0,40,0,1,0.012498101382173778
119,166,35,859,0,3000,2,80,0,1.9999770000000008,160.00548600000002,1,0,0.0,0,0,0,0.5000057500661256
120,165,9,33,1,3000,2,40,0,-79.947991,80.057495,-826,-26,-2072275712418020.0,-40,0,-1,-0.012508131692765113
121,166,35,860,0,3000,2,80,0,81.94758199999998,162.005077,827,26,2072275712418020.0,40,0,1,0.012202922595080355
122,166,35,861,0,3000,2,80,0,2.0004830000000027,164.00556,1,0,0.0,0,0,0,0.49987927915408364
123,165,9,34,1,3000,2,40,0,-81.908216,82.09734399999999,-827,-26,-2072275712418020.0,-40,0,-1,-0.012208787455461122
124,166,35,862,0,3000,2,80,0,83.90807400000001,166.00541800000002,828,26,2072275712418020.0,40,0,1,0.011917804238957979
125,166,35,863,0,3000,2,80,0,1.9995830000000008,168.00500100000002,1,0,0.0,0,0,0,0.5001042717406577
126,165,9,35,1,3000,2,40,0,-83.85543400000002,84.14956699999999,-828,-26,-2072275712418020.0,-40,0,-1,-0.011925285605223865
