,Importance
Time delta from previous displayed frame,0.2400150590336506
Time since reference or first frame,0.11207187101150612
Frame Number,0.10267742725395841
Frame length on the wire,0.08359620057593041
No.,0.08229028109658691
stNum,0.0767091588008064
Frame length stored into the capture file,0.07477582840413351
Length,0.06454772873636277
Length.1,0.053913445976235555
sqNum,0.03928188591210601
Time,0.027300788517507793
Epoch Time,0.02145134119521734
timeAllowedtoLive,0.01596408032689936
Time delta from previous captured frame,0.002624085027615958
allData,0.0015656989424092111
numDatSetEntries,0.0012151191890735812
