Feature,Variance,PCA_Importance
No.,5491074890341.179,0.06087343618404445
Frame Number,5491074890341.179,0.06087343618404439
Time,38424358877.32052,0.03925894367477453
Epoch Time,38424358877.32052,0.039258943674774505
sqNum,3212380.7053655093,0.16912842842384357
timeAllowedtoLive,2005893.8868266887,0.01638771961402656
Time since reference or first frame,236359.07850972196,0.06080920973978636
stNum,7752.222510177769,0.058138481394530345
Length.1,194.89711537808483,0.4679598282813412
Frame length stored into the capture file,194.89711537808483,0.46795982828134125
Length,194.89711537808483,0.4679598282813411
Frame length on the wire,194.89711537808483,0.4679598282813412
numDatSetEntries,0.6274924173769986,0.18589804460542855
allData,0.6274924173769986,0.18589804460542866
Time delta from previous displayed frame,0.07064613039134778,0.08946726180208076
Time delta from previous captured frame,7.425554703328245e-09,0.02212089742875376
