Feature,Variance,PCA_Importance
byte_rate,1321513141997107.8,0.014742083982994666
msg_rate,46891578554.930435,0.014736458611336779
Epoch Time,38424358877.32052,0.009175699041956044
base_time,38424358877.32052,0.00917569904195608
sqNum,3212380.7053655093,0.03336775466278316
timeAllowedtoLive,2005893.8868266887,0.14282440566721277
sqNum_delta,286716.78410076513,0.0016495083233815976
Time since reference or first frame,236359.078509722,0.02290980172073573
time_since_last_event,79359.25398219665,0.07828913985534064
msgs_since_last_event,72903.86503826619,0.07420390188195145
event_msg_rank,72903.86503826619,0.07420390188195145
event_id,21010.039020059787,0.04935584919435139
stNum_delta,9199.702574949,0.008182597384424456
stNum,7752.222510177771,0.08009014032411005
event_rate_spike,223.0854764141299,0.0806242221385909
Length,194.89711537808486,0.07653560130909572
Frame length on the wire,194.89711537808486,0.0765356013090956
Frame length stored into the capture file,194.89711537808486,0.07653560130909594
ttl_margin,1.120282515210059,0.14608094601633964
inter_arrival,0.551024119813506,0.06437805620438414
ttl_half,0.5014734717066721,0.14282440566721283
heartbeat_interval_error,0.3100423262152437,0.10464547108427653
status_change_violation_on_heartbeat,0.24394530554652946,0.13372892752825805
status_bit_change,0.23610285866388486,0.009478923535785356
heartbeat_within_tol,0.20398714777233035,0.15745993814700762
jitter_rolling_std,0.10912192949808755,0.11926413071441017
Time delta from previous displayed frame,0.07064613039134779,0.024623094912912657
length_delta,0.07009934894594876,0.17582742670853213
sq_inc_expected,0.03930276256597882,0.3113421352990841
sqNum_jump,0.03857394103038511,0.3137751353163599
st_change,0.03857394103038511,0.3137751353163599
stNum_change,0.03857394103038511,0.3137751353163599
t_change,0.03857394103038511,0.3137751353163599
sq_reset_expected,0.02851837900525608,0.29730575125524267
sq_reset_on_st_change,0.02851837900525608,0.2973057512552427
ttl_violation,0.026929023370120077,0.28687662987628537
boolean_1,0.02577240497560291,0.11670935166980634
sq_reset_without_st_change,0.02539664323575685,0.019083402428563982
sq_reset_violation,0.010690620075094548,0.11044055889140554
stNum_jump_gt1,0.003359756652985271,0.07177460549868915
sq_inc_violation_when_no_event,0.0007925757250248253,0.0034498466626628464
status_change_missing_on_event,0.0001321833365576342,0.01585229098619355
Time delta from previous captured frame,7.425554703328244e-09,0.021185413244571266
