feature,avg_importance,std_importance,appearances,datasets
integer_5,0.791144470454451,0.09489541558543502,2,IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED22MEASLLN0$Measurement_DM3
integer_7,0.7209475100441813,0.18645989736322605,2,IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED22MEASLLN0$Measurement_DM3
integer_6,0.7043850011865374,0.13538827119127222,2,IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED22MEASLLN0$Measurement_DM3
integer_8,0.5986806924185396,0.1107210169831698,2,IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED22MEASLLN0$Measurement_DM3
timestamp_diff,0.5845408881048634,0.26955938535595075,42,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
numDatSetEntries,0.5270730334713742,0.04665659803890593,2,IEC_Security_LIED10CTRLLN0$Status_DoS1; IEC_Security_LIED12CTRLLLN0$Status_DOS1
integer_1,0.4734923108447108,0.23055056003100136,11,IEC_Security_LIED10CTRLLN0$Status_DoS1; IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED12CTRLLLN0$Status_DOS1...
stNum,0.4391425109024118,0.31782135929739347,41,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
time_diff,0.3886925767258474,0.20768715303584745,42,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
integer_2,0.3879516298765727,0.20955811122719475,9,IEC_Security_LIED10CTRLLN0$Status_DoS1; IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED12CTRLLLN0$Status_DOS1...
index,0.3792873526203675,0.2381452045131953,42,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
floatvalue_1,0.37137470091818486,0.19570986477733576,7,IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED22MEASLLN0$Measurement_DM3; Power_Duck_Abgang1_6md85_MEAS_LLN0_Control_DataSet_insertion_3...
stNum_diff,0.3647497104272644,0.25310473936566685,41,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
timeAllowedtoLive,0.3326015645090149,0.0712088363292047,4,NTT_2025_physical_disjunctor_1_masquerade; NTT_2025_physical_disjunctor_1_replay; NTT_2025_simulated_trip2_masquerade...
floatvalue_2,0.3211099533602239,0.2842617436911279,7,IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED22MEASLLN0$Measurement_DM3; Power_Duck_Abgang1_6md85_MEAS_LLN0_Control_DataSet_insertion_3...
floatvalue_3,0.30976270798743843,0.2302330658924409,5,Power_Duck_Abgang1_6md85_MEAS_LLN0_Control_DataSet_insertion_3; Power_Duck_Abgang1_6md85_MEAS_LLN0_Control_DataSet_insertion_4; Power_Duck_Abgang1_6md85_MEAS_LLN0_Control_DataSet_insertion_5...
Length,0.3013778804173342,0.32532324973153276,42,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
freq,0.2878036065028423,0.21252688369947423,42,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
integer_3,0.2757751967599622,0.1764314207011936,16,IEC_Security_LIED10CTRLLN0$Status_DoS1; IEC_Security_LIED10MEASLLN0$Measurement_DM1; IEC_Security_LIED12CTRLLLN0$Status_DOS1...
sqNum_diff,0.2706106309921615,0.1718237878005346,42,GOOSE_secure_GOOSE_Ctrl15_spoofing_fault; GOOSE_secure_GOOSE_Ctrl15_spoofing_stable; IEC_Security_LIED10CTRLLN0$Status_DoS1...
